duration (seconds),emg amplitude
23.513324,64
23.514508,121
23.515776,121
23.517052,49
23.518256,25
23.519448,484
23.52072,784
23.521992,400
23.523268,64
23.524464,0
23.525568,9
23.526672,9
23.527776,9
23.52888,16
23.53006,36
23.531252,100
23.53252,100
23.533808,36
23.535004,9
23.5361,289
23.53738,484
23.538652,256
23.539932,36
23.541124,1
23.542224,9
23.54332,9
23.544432,4
23.545536,4
23.546636,16
23.547828,81
23.549012,121
23.5503,81
23.551484,0
23.552596,324
23.553868,729
23.555144,484
23.556428,100
23.5577,1
23.558796,4
23.559892,16
23.561088,16
23.562284,36
23.563476,81
23.564652,121
23.565932,121
23.567208,16
23.568408,100
23.56968,529
23.570956,625
23.572228,289
23.5735,36
23.5747,1
23.5758,16
23.576988,16
23.578176,16
23.57936,25
23.580548,81
23.581736,100
23.583012,121
23.584292,25
23.58548,49
23.586672,441
23.58796,625
23.589232,256
23.5905,36
23.591688,0
23.592796,4
23.5939,9
23.595,9
23.596116,25
23.5973,64
23.598492,100
23.59976,81
23.600956,9
23.602056,64
23.603256,400
23.604532,441
23.605804,196
23.607076,16
23.608268,0
23.609376,9
23.610484,4
23.611588,9
23.612684,25
23.613876,49
23.615064,81
23.616248,121
23.617532,16
23.618728,64
23.61992,400
23.621196,484
23.62246,196
23.623744,16
23.624928,0
23.62604,9
23.627144,4
23.62824,4
23.629344,9
23.630444,49
23.631636,81
23.632824,100
23.634104,81
23.635316,1
23.636408,324
23.637676,784
23.638952,529
23.640232,100
23.641504,0
23.6426,16
23.643792,16
23.644984,16
23.646176,16
23.647364,36
23.648556,49
23.649748,36
23.650936,4
23.65204,81
23.653232,324
23.654512,324
23.655788,144
23.657064,9
23.658164,1
23.659268,16
23.66046,16
23.661648,25
23.662832,36
23.664028,81
23.665208,81
23.666396,64
23.667596,1
23.668696,289
23.669984,625
23.671248,441
23.672524,121
23.673804,1
23.674916,4
23.676016,9
23.67712,16
23.678312,16
23.679496,25
23.68068,49
23.681868,64
23.68306,64
23.684268,25
23.685448,16
23.686632,225
23.687916,361
23.689188,196
23.690468,49
23.69166,4
23.692756,0
23.693856,0
23.694964,1
23.696076,4
23.697176,25
23.69836,49
23.699556,49
23.700752,16
23.701944,25
23.703124,196
23.7044,289
23.70568,169
23.706972,25
23.708136,0
23.709256,1
23.710356,1
23.71146,1
23.71256,0
23.713668,9
23.714768,36
23.715968,49
23.71716,36
23.71834,0
23.719444,121
23.720724,324
23.722,196
23.723284,36
23.724468,1
23.725564,0
23.726676,1
23.727776,4
23.728884,1
23.72998,1
23.731088,9
23.732192,16
23.733392,9
23.734492,0
23.7356,25
23.736788,100
23.73806,121
23.73934,49
23.740532,4
23.741644,0
23.742744,0
23.743848,0
23.744956,0
23.746048,0
23.747152,0
23.748256,0
23.74936,0
23.750472,0
23.751576,4
23.752684,9
23.753792,25
23.754984,16
23.756168,9
23.757276,4
23.75838,4
23.759488,1
23.760588,1
23.761692,1
23.762796,0
23.763896,0
23.765008,1
23.766116,0
23.767224,0
23.768328,4
23.769436,9
23.77054,9
23.771636,9
23.772744,9
23.773844,4
23.774956,4
23.77606,4
23.777164,1
23.778268,1
23.779372,0
23.78048,0
23.781584,0
23.782688,0
23.7838,0
23.784904,1
23.786004,1
23.787108,4
23.788212,4
23.789316,4
23.79042,4
23.791524,9
23.792636,9
23.793744,4
23.794848,4
23.795956,1
23.797056,0
23.79816,0
23.79926,0
23.800364,0
23.801472,0
23.80258,1
23.803688,4
23.804788,4
23.805892,9
23.807004,9
23.808108,4
23.809212,4
23.81032,4
23.811424,4
23.812532,4
23.813628,1
23.814736,1
23.815836,1
23.81694,0
23.818044,0
23.819156,0
23.820256,1
23.821372,1
23.822476,4
23.823576,4
23.824684,4
23.825784,4
23.826892,4
23.827996,4
23.8291,4
23.830204,4
23.831308,4
23.832412,1
23.833516,1
23.83462,0
23.835728,0
23.83684,0
23.837944,0
23.839048,1
23.840156,1
23.841252,4
23.842356,4
23.843464,4
23.844564,4
23.845676,4
23.84678,4
23.847884,4
23.848992,4
23.8501,1
23.8512,1
23.852304,1
23.853412,1
23.854524,1
23.855624,1
23.856728,1
23.857828,1
23.858932,1
23.860036,4
23.86114,4
23.862244,4
23.863364,4
23.864464,4
23.865568,4
23.866676,4
23.86778,4
23.868884,4
23.86998,1
23.871084,1
23.872196,1
23.873304,1
23.8744,0
23.875508,1
23.87662,1
23.87772,1
23.878828,1
23.879932,4
23.88104,4
23.882148,9
23.883244,4
23.884356,4
23.885452,4
23.886556,1
23.88766,1
23.888764,1
23.889876,1
23.890984,0
23.892092,1
23.893196,1
23.8943,1
23.895404,0
23.896508,1
23.897604,1
23.898716,1
23.89982,4
23.900924,4
23.902028,4
23.903132,4
23.904232,1
23.905348,1
23.906448,1
23.90756,1
23.908664,4
23.909772,4
23.910868,4
23.911972,4
23.913076,4
23.91418,4
23.915284,4
23.916396,4
23.9175,4
23.918612,1
23.919712,1
23.920816,1
23.92192,1
23.923028,4
23.924132,4
23.925236,4
23.92634,4
23.927444,1
23.928548,4
23.929652,4
23.930756,4
23.93186,4
23.932968,4
23.934092,1
23.935184,1
23.936288,4
23.937392,4
23.9385,4
23.939596,1
23.9407,4
23.941808,1
23.94292,1
23.94402,1
23.945124,4
23.946228,4
23.94734,4
23.94844,4
23.949548,4
23.950652,1
